Sr. No.,Machine,Material Description,Make,Qty used,Remark,Item Code,Available Stock in SAP as on 28.11.2022,On Order Stock as on 28.11.22,Remark,Order status
189,Chassis Conveyor,6AV66470AC113AXO HMI KTP 600 SIEMENS,Siemens,1,Rollout HMI,11011,2,2,,
190,Chassis Conveyor,3TF3010-0BB4 CONTACTOR 24VDC,Siemens,10,"Contactor 24v DC Coil, 9 Amp",14278,5,5,,
191,Chassis Conveyor,NA2-N20-P-1 LIGHT CURTAIN,Panasonic,1,Bump prevention sensor,16693,1,1,,
192,Chassis Conveyor,BALL BEARING 6203 ZZ,SKF,500,Conveyor roller bearing,3594,74,74,,
193,Chassis Conveyor,SHEAR PIN SPROCKET 37T DIA 465x23.5TH,Praja,1,Sprocket Chassis conveyor roll out,11197,1,1,,
194,Chassis Conveyor,"10911D023R2/6 DRIVE SPROCKET 14T 1/2"" P",Praja,1,Chassis Line Roll Out Motor Sprocket 14 Teeth,12633,0,0,,
195,Chassis Conveyor,CHASSIS CONVEYOR ROLLER PIN,Praja,500,,11092,18,18,,
196,Chassis Conveyor,SERVO MESH SP220,Indian Oil,50,Gear Box Oil ,4320,4,4,,
197,Chassis Conveyor,CHAIN ROLLER,Praja,1000,Conveyor roller with bearing,11086,150,150,,
198,Scissor Lift,ROLLER DIA 80 x 32,Praja,8,,11775,0,0,,
199,Scissor Lift,PIN DIA 16 x 74,Praja,8,,11776,0,0,,
200,Scissor Lift,BUSH DIA 20 x 49,Praja,8,,11777,0,0,,
201,Scissor Lift,SCISSOR LIFT MAIN ROLLER,Praja,8,,15533,4,4,,
202,Scissor Lift,ROLL PIN FOR SCISSOR LIFT,Praja,8,,15534,3,3,,
203,Scissor Lift,HYDRAULIC PUMP FOR SCISSOR LIFT,Praja,2,,15535,1,1,,
204,Frame Assembly Conveyor ,FRAME CONVEYOR ROLLER PIN,Praja,300,Conveyor roller pin,11087,0,,,
205,Frame Assembly Conveyor ,FRAME CONVEYOR PUSHER,Praja,300,,11085,0,0,,
206,Frame Assembly Conveyor ,ITAF000355 PUSHER DOG,Praja,1,OLD frame assy conveyor pusher dog,17630,2,2,,
207,Frame Assembly Conveyor ,ITAF000353 PUSHER DOG,Praja,1,New frame assy conveyor pusher dog,17631,2,2,,
208,Scissor Lift Hyd Power Pack,DPRH-06S-315 PRESSUR RELIEF VALVE,POLYHYDRON,4,Pressure relief valve,6355,1,1,,
209,Scissor Lift Hyd Power Pack,DSG-03-3C60-D24-N1-50 DC VALVE,Yuken,2,Solenoid valve ,15325,2,2,,
210,Scissor Lift Hyd Power Pack,CHECK VALVE SANDWITCH TYPE - CIM-10-AB1-24,POLYHYDRON,2,Check valve ,17858,2,2,,
211,New Frame Assy Con,6SL3210-1PE14-3UL1 POWER MODULE,Siemens,1,New Frame Assy Con VFD Power Module,17669,2,2,,
212,New Frame Assy Con,6SL32440BB121FA0 G120-CU240E-2PN,Siemens,1,New Frame Assy Con VFD Control Unit,11796,0,0,,
213,New Frame Assy Con,6AV21232JB030AX0 HMI KTP 900,Siemens,1,New Frame Assy Con HMI,18520,1,1,,
214,New Frame Assy Con,"6EP13341LD00 SMPS 12.5A, 24VDC",Siemens,1,New Frame Assy Con SMPS,17781,2,2,,
215,OLD Frame Assy Con,6SL3224-0BE21-1UA0 SINAMICS G120 PM240,Siemens,1,OLD Frame Assy Con VFD Power Module,13485,2,2,,
216,OLD Frame Assy Con,"KTP 1000 Basic PN, 6AV6 647-0AF11-3AX0",Siemens,1,OLD Frame Assy Con HMI,15283,1,1,,
217,OLD Frame Assy Con,6SL32440BB001PA1 CONTROL UNIT G120 SINAM,Siemens,1,OLD Frame Assy Con VFD Control Unit,15831,1,1,,
218,Shuttle Car,6SL3244OBB121BA1 SIEMENS CU240E-2,Siemens,1,Shuttle Car Chain Con,11793,1,1,,
219,Shuttle Car,6SL3244OBB121BA1 SIEMENS CU240E-2,Siemens,1,Shuttle Car For/Rev,11793,1,1,,
220,Shuttle Car,6SL32101PE180UL1 POWER MODULE PM240-2,Siemens,1,Shuttle Car For/Rev,11793,1,1,,
221,Shuttle Car,DRS WHEEL BLOCK :DRS125A35-A60-K-X-A20,Demag,2,Shuttle car DRS drive wheel,11195,2,2,,
222,Shuttle Car,SPLINE SHAFT ASSLY. INNER LINK FOR MOTOR,Praja,1,Shuttle Car,16013,1,1,,
223,Shuttle Car,MANIFOLD FOR SCISSOR LIFT POWER PACK,Praja,1,Shuttle Car,16014,1,1,,
